Date, Close/Last, Volume, Open, High, Low
01/29/2020, $125.06, 5271098, $125.91, $126.07, $125.025
01/28/2020, $126.03, 6200303, $125.93, $126.98, $125.72
01/27/2020, $125.69, 9338515, $124.75, $126.39, $124.75
01/24/2020, $125.14, 9508631, $125.22, $126.79, $124.77
01/23/2020, $124.99, 11096730, $124.3, $126.55, $123.65
01/22/2020, $126.31, 7396746, $126.33, $126.6795, $125.83
01/21/2020, $126.09, 8553166, $126.41, $126.62, $124.84
01/17/2020, $126.41, 11315190, $126.35, $127, $125.88
01/16/2020, $126.07, 6234012, $126.11, $126.78, $125.59
01/15/2020, $125.96, 4844149, $125.06, $126.12, $125.01
01/14/2020, $124.69, 7829663, $124.65, $125.2, $124.48
01/13/2020, $124.88, 8410341, $124, $124.9, $123.81
01/10/2020, $123.97, 3927077, $123.9, $124.32, $123.295
01/09/2020, $123.85, 5944318, $122.51, $123.88, $122.51
01/08/2020, $122.51, 5385065, $122.19, $123.4299, $122.0003
01/07/2020, $121.99, 7585870, $122.88, $123.2059, $121.87
01/06/2020, $122.75, 6674659, $122.57, $123.19, $122.3787
01/03/2020, $122.58, 7971799, $122.16, $123.53, $121.86
01/02/2020, $123.41, 7647890, $124.5, $124.73, $122.94
12/31/2019, $124.9, 4798914, $124.43, $124.99, $123.95
12/30/2019, $124.47, 3884445, $125.76, $125.98, $124.14
12/27/2019, $126.09, 5192015, $125.56, $126.295, $125.39
12/26/2019, $125.22, 4761436, $125.1, $125.745, $124.87
12/24/2019, $125.22, 2022053, $124.79, $125.3099, $124.58
12/23/2019, $124.9, 6619662, $125.52, $125.82, $124.685
12/20/2019, $125.36, 16250520, $126.15, $126.6, $125.03
12/19/2019, $124.92, 6630198, $124.16, $125.2, $123.9
12/18/2019, $124.01, 8608450, $125.31, $125.87, $123.69
12/17/2019, $125.31, 8832197, $125.59, $125.98, $124.31
12/16/2019, $125.56, 8281922, $125.47, $126.35, $125.35
12/13/2019, $125.47, 5471590, $124.21, $125.74, $123.79
12/12/2019, $124.57, 5897786, $124.78, $125.76, $123.88
12/11/2019, $124.66, 4823359, $124.27, $125.27, $124.07
12/10/2019, $124.27, 4740135, $124.78, $124.87, $124.1232
12/09/2019, $124.87, 7478083, $124.31, $125.14, $124.18
12/06/2019, $124.19, 7150877, $124.73, $125.45, $123.89
12/05/2019, $124.62, 7029456, $124.27, $124.63, $123.66
12/04/2019, $124.53, 6857412, $122.75, $124.58, $122.69
12/03/2019, $122.95, 6496162, $122.31, $122.96, $121.795
12/02/2019, $122.72, 6146378, $121.94, $122.78, $120.9602
11/29/2019, $122.06, 2927290, $121.99, $122.63, $121.71
11/27/2019, $121.76, 3751362, $122.42, $122.44, $120.96
11/26/2019, $122.26, 8235886, $120.73, $122.35, $120.41
11/25/2019, $120.51, 5134272, $120.44, $120.92, $120.02
11/22/2019, $120.29, 4414949, $120.23, $120.61, $119.39
11/21/2019, $120.34, 7094212, $121.78, $122.54, $120.2756
11/20/2019, $122.29, 6479982, $121.42, $122.375, $120.93
11/19/2019, $121.42, 5989318, $121.93, $122.78, $121.125
11/18/2019, $121.89, 7493702, $120.25, $122.56, $120.17
11/15/2019, $120.54, 7108595, $120.99, $120.99, $119.97
11/14/2019, $120.5, 5188323, $120.62, $121.17, $120.114
11/13/2019, $120.65, 7279556, $119.9, $121.05, $119.87
11/12/2019, $119.27, 4759870, $119.49, $119.6, $118.545
11/11/2019, $119.33, 3850393, $119.48, $120, $119.09
11/08/2019, $119.7, 4250112, $119.85, $120.59, $119.16
11/07/2019, $119.62, 8909742, $120.34, $120.34, $118.81
11/06/2019, $120.32, 6756251, $119.1, $120.35, $118.66
11/05/2019, $118.9, 9239611, $118.83, $119.585, $118.2368
11/04/2019, $119.07, 10351370, $123.92, $123.92, $118.64
11/01/2019, $123.87, 6010150, $124.83, $125.138, $123.245
10/31/2019, $124.51, 6399499, $124.79, $125.448, $123.355
10/30/2019, $124.94, 4734450, $123.99, $125.17, $123.5
10/29/2019, $123.6, 5659836, $123.2, $124.56, $123.1
10/28/2019, $123.48, 5459510, $123.48, $124.12, $122.6
10/25/2019, $123.25, 6093305, $124.82, $124.82, $123.17
10/24/2019, $124.79, 6746318, $123.76, $125.77, $123.34
10/23/2019, $123, 8320038, $121.99, $123.73, $121.84
10/22/2019, $122.18, 14489880, $124, $124.22, $121.6
10/21/2019, $119.08, 7232768, $117.42, $119.12, $117.35
10/18/2019, $117.47, 9016947, $116.55, $117.75, $116.1713
10/17/2019, $116.63, 5994308, $117.31, $117.64, $116.55
10/16/2019, $117.53, 8000126, $117.67, $117.77, $116.505
10/15/2019, $117.2, 11176210, $120.19, $120.56, $116.7
10/14/2019, $120.05, 7383513, $121.62, $121.62, $119.58
10/11/2019, $121.09, 6301624, $122.04, $122.06, $120.82
10/10/2019, $121.94, 4117940, $121.33, $122.19, $120.8
10/09/2019, $121.98, 3793246, $121.81, $122.39, $121.4299
10/08/2019, $120.93, 6194271, $122.66, $122.93, $120.88
10/07/2019, $122.84, 4783975, $123.53, $123.89, $122.68
10/04/2019, $124, 4405651, $122.19, $124.06, $121.99
10/03/2019, $121.74, 5235240, $121.67, $122.54, $120.84
10/02/2019, $121.08, 6800669, $123.2, $123.65, $120.21
10/01/2019, $123.85, 5456228, $124.36, $124.64, $123.2
09/30/2019, $124.38, 5227313, $124.57, $125.36, $124.13
09/27/2019, $124.57, 5590415, $124.41, $124.88, $123.72
09/26/2019, $124.31, 7058120, $123.64, $125, $123.53
09/25/2019, $123.02, 5842298, $123.56, $123.83, $122.9488
09/24/2019, $123.61, 7810750, $123.7, $124.73, $123.36
09/23/2019, $123.22, 6255907, $122.2, $123.77, $121.97
09/20/2019, $122.24, 15437270, $122.13, $122.6, $121.75
09/19/2019, $121.9, 4752602, $121.39, $122.23, $121.24
09/18/2019, $121.41, 5788412, $121.27, $121.96, $120.77
09/17/2019, $121.16, 6403020, $119.63, $121.99, $119.44
09/16/2019, $119.75, 9626736, $121.81, $121.96, $119.015
09/13/2019, $122.12, 6777400, $121.82, $122.58, $121.5
09/12/2019, $122.77, 6194325, $122.65, $123.21, $121.62
09/11/2019, $121.27, 7565510, $119.86, $121.34, $119.36
09/10/2019, $119.88, 9582183, $121.03, $121.1844, $119.582
09/09/2019, $122.17, 7662430, $122.71, $122.78, $121.78
09/06/2019, $122.87, 5307301, $123, $123.38, $122.54
09/05/2019, $122.76, 7491860, $123.24, $123.43, $122.18
09/04/2019, $123.21, 5602005, $121.85, $123.28, $121.46
09/03/2019, $121.36, 4959617, $119.79, $121.54, $119.6335
08/30/2019, $120.23, 6007112, $121.96, $122, $119.51
08/29/2019, $121.18, 5011487, $121.79, $122, $120.32
08/28/2019, $121.4, 4606400, $120.46, $121.43, $119.63
08/27/2019, $120.55, 6996550, $119.99, $121.05, $119.78
08/26/2019, $119.32, 5661841, $117.75, $119.6, $117.215
08/23/2019, $117.32, 7336907, $119.14, $120.1126, $116.43
08/22/2019, $119.42, 4558457, $119.08, $119.79, $118.7
08/21/2019, $119.2, 4037412, $119.27, $119.6502, $118.68
08/20/2019, $118.9, 6744298, $120.05, $120.26, $118.79
08/19/2019, $120.24, 5867224, $119.97, $120.45, $119.11
08/16/2019, $119.18, 8302368, $118.06, $119.54, $117.6
08/15/2019, $117.39, 7758035, $116.8, $118.09, $116.44
08/14/2019, $115.79, 10148260, $116.46, $117.94, $115.66
08/13/2019, $117.25, 6757704, $116.51, $118.065, $116.34
08/12/2019, $116.03, 4996161, $116.78, $117.67, $115.59
08/09/2019, $116.78, 6939535, $117.62, $118.04, $115.85
08/08/2019, $117.44, 7416622, $115.52, $117.49, $115.34
08/07/2019, $115.52, 9507607, $113.75, $116.2387, $112.68
08/06/2019, $114.28, 9490555, $113.65, $115, $113.18
08/05/2019, $113.08, 12974790, $116.09, $116.3, $112.83
08/02/2019, $116.44, 12266110, $116.51, $117.08, $115.69
08/01/2019, $116.73, 11308630, $118.56, $119.17, $116.725
07/31/2019, $118.04, 12641810, $119.66, $120.68, $117.07
07/30/2019, $120.41, 18788810, $119.82, $121.76, $118.8
07/29/2019, $116, 7768672, $114.73, $116.21, $114.62
07/26/2019, $114.73, 5559578, $113.21, $114.88, $112.88
07/25/2019, $112.77, 7809607, $111.48, $112.975, $111.38
07/24/2019, $112.6, 9636008, $113.85, $113.8811, $112.28
07/23/2019, $113.85, 8194573, $115.71, $116.05, $113.835
07/22/2019, $115.3, 4018769, $115.04, $115.445, $114.58
07/19/2019, $115.01, 6547213, $115.5, $115.95, $115.01
07/18/2019, $115.44, 5828782, $114.93, $115.77, $114.79
07/17/2019, $115.94, 7862148, $115.73, $116.29, $115.73
07/16/2019, $115.89, 7644578, $115.72, $116.52, $115.45
07/15/2019, $115.48, 6240874, $115.07, $115.875, $114.79
07/12/2019, $114.99, 7058570, $114.07, $115.21, $114.07
07/11/2019, $114.38, 4625301, $113.66, $114.4, $113.44
07/10/2019, $113.75, 5600655, $113.46, $114.5, $113.4
07/09/2019, $112.91, 7537695, $113.9, $113.91, $112.32
07/08/2019, $114.05, 5317783, $113.34, $114.225, $113.3
07/05/2019, $113.15, 8694810, $112.97, $113.45, $112.225
07/03/2019, $114.08, 6223327, $111.96, $114.27, $111.84
07/02/2019, $111.48, 6578561, $110.61, $111.5, $110.285
07/01/2019, $110.49, 6780298, $109.92, $110.7, $109.61
06/28/2019, $109.65, 12152040, $111.86, $111.96, $109.02
06/27/2019, $109.78, 5613266, $109.92, $110.27, $109.29
06/26/2019, $109.73, 7170284, $111.39, $111.44, $109.66
06/25/2019, $111.72, 6805592, $112.11, $112.63, $111.31
06/24/2019, $112.33, 5518103, $111.82, $112.5, $111.4
06/21/2019, $111.2, 13799390, $111.62, $112.47, $111.02
06/20/2019, $111.74, 7044211, $110.78, $112.02, $110.495
06/19/2019, $110.42, 7028013, $109.5, $110.725, $109.26
06/18/2019, $109.6, 7731179, $111.45, $111.56, $109.43
06/17/2019, $110.99, 6020025, $111.16, $111.21, $110.235
06/14/2019, $111.2, 6438192, $110.97, $111.75, $110.65
06/13/2019, $110.91, 8611441, $109.98, $110.95, $109.855
06/12/2019, $109.68, 7687876, $109.6, $110.655, $109.58
06/11/2019, $109.38, 8074439, $108.94, $109.6, $108.87
06/10/2019, $108.72, 4766963, $108.32, $109.02, $107.4582
06/07/2019, $108.77, 8063464, $107.74, $109.38, $107.74
06/06/2019, $107.38, 6681557, $106.85, $107.68, $106.33
06/05/2019, $106.73, 6481709, $105.24, $106.75, $104.89
06/04/2019, $104.68, 6906462, $104.01, $105.095, $103.85
06/03/2019, $103.8, 8533213, $103.15, $103.96, $102.4
05/31/2019, $102.91, 10282390, $104.89, $104.9, $102.405
05/30/2019, $105.33, 4729193, $104.37, $105.37, $104.37
05/29/2019, $104.19, 7137275, $103.96, $104.81, $103.7
05/28/2019, $104.46, 7615505, $106.7, $107.245, $104.42
05/24/2019, $106.69, 4372083, $107.15, $107.435, $106.54
05/23/2019, $106.76, 6175566, $106.68, $107.03, $105.885
05/22/2019, $106.72, 4889697, $106.09, $107.05, $105.94
05/21/2019, $106.37, 5226391, $107.47, $107.54, $106.29
05/20/2019, $107.33, 6565331, $107.44, $108.13, $107.14
05/17/2019, $107.45, 6370167, $107.27, $108, $107.255
05/16/2019, $108.11, 9284175, $106.74, $108.68, $106.59
05/15/2019, $106.7, 5535601, $105.61, $106.995, $105.5
05/14/2019, $105.6, 7004005, $105.77, $106.5, $105.57
05/13/2019, $106.11, 7575536, $105.14, $106.59, $104.85
05/10/2019, $106.01, 5815774, $103.98, $106.15, $103.92
05/09/2019, $104.24, 6901721, $104.67, $105.04, $103.78
05/08/2019, $105.07, 5392600, $104.99, $105.77, $104.16
05/07/2019, $104.7, 6021728, $105.03, $105.58, $104.1
05/06/2019, $105.68, 4890716, $105.12, $105.82, $105.04
05/03/2019, $106.08, 4793454, $105.99, $106.41, $105.58
05/02/2019, $105.56, 6270323, $105.2, $105.76, $105.05
05/01/2019, $104.93, 6734075, $106.15, $106.39, $104.81
04/30/2019, $106.48, 8250266, $104.86, $106.62, $104.655
04/29/2019, $104.78, 4785525, $105.57, $105.75, $104.72
04/26/2019, $105.86, 7746613, $103.95, $105.88, $103.91
04/25/2019, $103.28, 6079762, $103.1, $103.57, $102.5902
04/24/2019, $103.69, 9617924, $103.32, $104.65, $102.79
04/23/2019, $103.16, 15978490, $104.01, $104.11, $102.13
04/22/2019, $106.01, 9002146, $106.13, $107.2, $105.74
04/18/2019, $106.05, 7248173, $106.02, $106.71, $105.825
04/17/2019, $105.85, 6778074, $106.27, $106.51, $105.35
04/16/2019, $106.42, 8135411, $105.98, $106.5, $105.65
04/15/2019, $105.73, 5639235, $104.98, $105.78, $104.79
04/12/2019, $105.06, 6707878, $104.75, $105.06, $104.17
04/11/2019, $104.75, 5078440, $104.58, $105.05, $104.3701
04/10/2019, $104.65, 5205447, $104.66, $105, $104.24
04/09/2019, $104.66, 5814438, $104.55, $104.76, $104.14
04/08/2019, $104.97, 8468544, $103.93, $105.14, $103.5
04/05/2019, $103.65, 4281789, $103.61, $103.69, $103.17
04/04/2019, $103.43, 4786135, $103.48, $103.67, $102.785
04/03/2019, $103.69, 5226342, $103.58, $103.89, $102.75
04/02/2019, $103.75, 5976865, $103.61, $104.015, $103.2647
04/01/2019, $103.64, 6290327, $104.23, $104.23, $103.1365
03/29/2019, $104.05, 7535349, $103.86, $104.15, $103.11
03/28/2019, $103.55, 6379641, $103.31, $103.68, $103.11
03/27/2019, $102.9, 5671792, $102.76, $103.02, $102.0366
03/26/2019, $103.02, 6909361, $102.44, $103.48, $102.4
03/25/2019, $101.96, 6955540, $101.66, $102.34, $101.26
03/22/2019, $101.66, 10693280, $102.48, $103.15, $99.09
03/21/2019, $102.49, 8163303, $101.28, $102.91, $101.28
03/20/2019, $101.72, 7305348, $101.73, $102.31, $101.05
03/19/2019, $101.9, 7075923, $101.91, $102.14, $101.29
03/18/2019, $101.51, 7800548, $102.06, $102.29, $101.2
03/15/2019, $102.44, 30802570, $101.76, $102.89, $101.73
03/14/2019, $101.32, 8590184, $100.94, $101.78, $100.72
03/13/2019, $101.18, 9543640, $99.99, $101.59, $99.96
03/12/2019, $100.05, 7596754, $99.78, $100.52, $99.73
03/11/2019, $99.58, 7544426, $98.79, $99.68, $98.51
03/08/2019, $98.41, 5139942, $98.82, $99.18, $97.75
03/07/2019, $98.55, 8353271, $98.97, $99.6, $98.25
03/06/2019, $98.93, 4552156, $98.86, $99.1, $98.4
03/05/2019, $99.09, 6117533, $98.91, $99.68, $98.91
03/04/2019, $98.87, 6895292, $98.57, $98.88, $97.88
03/01/2019, $98.44, 7490246, $98.61, $98.78, $97.83
02/28/2019, $98.55, 10572980, $98.91, $99.2, $98.08
02/27/2019, $98.91, 6012623, $99.34, $99.6288, $98.82
02/26/2019, $99.83, 7115284, $99.84, $100.18, $99.63
02/25/2019, $99.57, 7436016, $100.36, $100.45, $99.33
02/22/2019, $100.25, 7925424, $99.69, $100.4, $99.4
02/21/2019, $99.78, 7439600, $99.1, $99.86, $98.59
02/20/2019, $99.28, 8947343, $99.78, $100.22, $98.94
02/19/2019, $99.99, 10098210, $98.56, $100, $98.47
02/15/2019, $98.48, 12069060, $98.95, $99.2, $98.25
02/14/2019, $98.46, 7930091, $98.7, $98.82, $97.84
02/13/2019, $99.24, 11575030, $99.29, $99.7, $99.01
02/12/2019, $99.26, 11204690, $98.38, $99.34, $97.98
02/11/2019, $98.27, 8494086, $97.49, $98.39, $97.43
02/08/2019, $97.71, 7482170, $97.01, $97.72, $96.7
02/07/2019, $97.14, 8726787, $97.52, $97.6, $96.34
02/06/2019, $97.92, 8693934, $97.246, $98.315, $97.12
02/05/2019, $97.44, 9772292, $97.99, $98.02, $97.21
02/04/2019, $98.03, 11860270, $97.21, $98.22, $96.72
02/01/2019, $97.47, 12720580, $96.35, $97.61, $95.99
01/31/2019, $96.47, 16043330, $94.43, $96.81, $94.08
01/30/2019, $94.52, 7746225, $93.61, $94.66, $93.57
01/29/2019, $93.54, 9768152, $93.79, $94.12, $93.1
01/28/2019, $93.52, 9726188, $93.32, $93.97, $92.97
01/25/2019, $93.6, 10618010, $94.415, $94.89, $93.06
01/24/2019, $94.3, 12142150, $94.29, $94.56, $93.19
01/23/2019, $94.84, 22476290, $94.18, $96.41, $93.63
01/22/2019, $90.44, 13515510, $91.39, $91.75, $89.08
01/18/2019, $91.42, 9100193, $91.37, $91.84, $91.04
01/17/2019, $90.64, 8044455, $90.71, $91.56, $90.345
01/16/2019, $91.37, 7932795, $91.74, $92.15, $90.99
01/15/2019, $92.01, 7824486, $91.15, $92.61, $91.14
01/14/2019, $91.15, 6802141, $91.5, $91.91, $90.85
01/11/2019, $91.77, 7165570, $91.67, $91.98, $91.11
01/10/2019, $91.17, 11084210, $90.89, $91.535, $90.605
01/09/2019, $90.95, 13883870, $92.69, $92.96, $90.81
01/08/2019, $92.46, 9273318, $92.7, $93.09, $91.82
01/07/2019, $92.12, 8879940, $91.91, $92.5, $91.4
01/04/2019, $92.49, 9733555, $90.84, $92.49, $90.37
01/03/2019, $90.64, 9820225, $90.94, $92.5, $90.38
01/02/2019, $91.28, 9503082, $91.03, $91.39, $89.93
12/31/2018, $91.92, 7239480, $91.63, $92.18, $91.15
12/28/2018, $91.18, 9609151, $92.56, $93.28, $90.84
12/27/2018, $92.02, 10431500, $89.61, $92.05, $88.2
12/26/2018, $90.09, 8530163, $87.42, $90.09, $86.74
12/24/2018, $87.36, 7396254, $90.45, $90.66, $86.88
12/21/2018, $90.97, 22760000, $90.61, $93.17, $90.36
12/20/2018, $90.98, 14027300, $91.51, $92.225, $90.13
12/19/2018, $91.76, 10824590, $92.55, $93.35, $91.29
12/18/2018, $92.49, 11391910, $93.13, $93.31, $91.86
12/17/2018, $92.77, 12339960, $96, $96.5, $92.403
12/14/2018, $96.64, 12549340, $96.45, $96.895, $96.02
12/13/2018, $96.49, 18065720, $94.87, $96.79, $94.8
12/12/2018, $94.03, 9592028, $94.21, $94.55, $93.1
12/11/2018, $93.91, 8739241, $93.72, $94.52, $93.4
12/10/2018, $93.03, 8823800, $93.25, $93.4, $91.3664
12/07/2018, $92.45, 7929895, $93.585, $93.78, $92.14
12/06/2018, $93.55, 13921420, $92.7, $93.63, $91.08
12/04/2018, $93.31, 10304630, $93.49, $94.86, $93.17
12/03/2018, $93.32, 13419360, $94.67, $94.67, $92.26
11/30/2018, $94.51, 16152160, $93.18, $94.65, $92.75
11/29/2018, $92.82, 5891018, $92.86, $93.3, $92.66
11/28/2018, $93.01, 7941366, $92.63, $93.22, $92.21
11/27/2018, $92.72, 9023363, $91.93, $92.86, $91.85
11/26/2018, $91.94, 7789338, $91.15, $92.4, $91.15
11/23/2018, $91.54, 4399630, $91.25, $91.99, $90.63
11/21/2018, $91.41, 8911258, $91.66, $92.365, $91.24
11/20/2018, $92.1, 12073920, $93.24, $93.79, $91.86
11/19/2018, $93.29, 9268395, $93.72, $94.185, $92.91
11/16/2018, $93.82, 12980500, $93.82, $94.81, $93.665
11/15/2018, $93.83, 12335270, $93.33, $93.9, $92.72
11/14/2018, $93.49, 11595360, $93.42, $93.9, $92.985
11/13/2018, $93.47, 13271310, $91.97, $93.57, $91.5869
11/12/2018, $92.7, 12300710, $92.21, $93.45, $91.75
11/09/2018, $92.41, 10713480, $91.35, $92.665, $91.17
11/08/2018, $91.36, 6612532, $90.95, $91.525, $90.67
11/07/2018, $91.29, 8704542, $91.59, $91.62, $90.62
11/06/2018, $91.51, 8857674, $90.86, $91.53, $90.43
11/05/2018, $91.2, 12270150, $89.89, $91.44, $89.815
11/02/2018, $89.81, 10918010, $89.88, $89.95, $88.9802
11/01/2018, $89.59, 9730486, $88.81, $89.83, $88.18
10/31/2018, $88.68, 12610600, $88.77, $89.32, $87.27
10/30/2018, $89.19, 13772290, $88.85, $89.4323, $88.205
10/29/2018, $88.24, 12876470, $88.29, $89.42, $87.44
10/26/2018, $87.86, 14330820, $88.69, $89.17, $87.385
10/25/2018, $89, 14645780, $88.11, $89.33, $87.305
10/24/2018, $89.46, 26693290, $87.28, $90.7, $87.22
10/23/2018, $87.16, 16268460, $86.01, $87.3, $86.01
10/22/2018, $86.6, 14123450, $86.73, $87.24, $85.23
10/19/2018, $87.3, 30268660, $84.86, $87.76, $84.86
10/18/2018, $80.24, 9860746, $80.71, $81.34, $80
10/17/2018, $81.86, 10367900, $80.76, $82.1764, $80.38
10/16/2018, $81.01, 9462626, $79.91, $81.09, $79.9
10/15/2018, $80.13, 9691183, $79.01, $80.54, $78.92
10/12/2018, $79.06, 9863043, $79.37, $79.375, $78.49
10/11/2018, $78.87, 12491990, $81.64, $81.97, $78.669
10/10/2018, $81.44, 9076631, $81.81, $82.68, $81.44
10/09/2018, $82.2, 6267144, $82.39, $82.72, $82.06
10/08/2018, $82.4, 7071038, $81.98, $82.74, $81.75
10/05/2018, $82.15, 5454641, $81.98, $82.45, $81.98
10/04/2018, $81.92, 7015254, $82.5, $82.5, $81.1
10/03/2018, $83.03, 7958663, $84.44, $84.52, $82.85
10/02/2018, $84.36, 6658259, $83.48, $84.435, $83.37
10/01/2018, $83.67, 4865253, $83.31, $83.72, $83.17
09/28/2018, $83.23, 4756464, $83.03, $83.29, $82.79
09/27/2018, $82.86, 5290359, $83.04, $83.63, $82.81
09/26/2018, $83.26, 6562417, $83.25, $83.99, $83.03
09/25/2018, $83.12, 5370475, $84.28, $84.41, $83.08
09/24/2018, $84.27, 6234613, $85.63, $85.71, $84.23
09/21/2018, $85.82, 17314030, $85.81, $86.28, $85.52
09/20/2018, $85.36, 10014860, $84.29, $85.635, $84.23
09/19/2018, $84, 6127511, $83.92, $84.29, $83.77
09/18/2018, $84, 5926616, $84.29, $84.29, $83.575
09/17/2018, $84.25, 6825032, $83.5, $84.274, $83.34
09/14/2018, $83.61, 4876240, $83.47, $83.665, $82.97
09/13/2018, $83.45, 5081623, $83.27, $83.49, $82.65
09/12/2018, $83.11, 5915718, $81.9, $83.18, $81.7
09/11/2018, $82.01, 5181375, $82.13, $82.42, $81.63
09/10/2018, $82.38, 6648969, $82.58, $83.1, $82.34
09/07/2018, $81.91, 11091290, $82.1, $82.2, $81.25
09/06/2018, $82.65, 7541078, $82.91, $83.305, $82.49
09/05/2018, $83.29, 7577694, $82.11, $83.47, $82.11
09/04/2018, $82.7, 5743875, $82.48, $82.96, $82.07
08/31/2018, $82.95, 6579145, $83.35, $83.53, $82.39
08/30/2018, $83.41, 4443865, $83.39, $83.74, $83.19
08/29/2018, $83.49, 4520429, $83.51, $83.76, $83.29
08/28/2018, $83.48, 5400739, $83.72, $83.86, $83.32
08/27/2018, $83.44, 3929986, $83.5, $83.82, $83.02
08/24/2018, $83.36, 5301672, $83.22, $83.55, $83.03
08/23/2018, $83.24, 4217079, $83.01, $83.6, $82.84
08/22/2018, $83.39, 5117923, $83.81, $83.85, $83.06
08/21/2018, $83.9, 8344021, $83.57, $84, $83.09
08/20/2018, $83.64, 6544846, $83.89, $83.95, $83.31
08/17/2018, $83.69, 8335354, $83.73, $84.2, $83.6
08/16/2018, $83.69, 12348860, $82.46, $84, $82.31
08/15/2018, $82.3, 8355594, $81.3, $82.365, $80.81
08/14/2018, $81.31, 6226887, $81.39, $81.72, $81.23
08/13/2018, $81.52, 5068021, $81.7, $82.08, $81.15
08/10/2018, $81.43, 5563915, $81.3, $81.76, $81
08/09/2018, $81.4, 5167432, $82.44, $82.44, $81.3
08/08/2018, $82.35, 4891255, $82.1, $82.799, $82.1
08/07/2018, $82.64, 6417985, $82.41, $82.68, $81.73
08/06/2018, $82.52, 5669217, $82.2, $82.925, $82.15
08/03/2018, $82.33, 7102315, $82.14, $83.1, $81.92
08/02/2018, $82, 9261621, $80.8, $82.22, $80.59
08/01/2018, $80.65, 7555988, $80.42, $80.82, $80.11
07/31/2018, $80.88, 9878078, $80.39, $80.98, $79.43
07/30/2018, $80.2, 7089940, $80.07, $80.5, $79.84
07/27/2018, $80.58, 7492698, $79.67, $80.8253, $79.46
07/26/2018, $80.09, 9770966, $79.56, $80.77, $79.47
07/25/2018, $79.47, 6206939, $78.72, $79.6, $78.72
07/24/2018, $78.99, 8296980, $77.54, $79.01, $77.54
07/23/2018, $78.51, 5871547, $78.49, $78.94, $78.24
07/20/2018, $78.68, 8234628, $78.32, $79.055, $78.32
07/19/2018, $78.73, 8006178, $78.42, $79.19, $77.89
07/18/2018, $79.72, 9102661, $79.72, $80.21, $79.33
07/17/2018, $80.03, 8979184, $79.66, $80.5, $79.55
07/16/2018, $79.53, 6930933, $79.21, $79.63, $78.83
07/13/2018, $79.31, 6010332, $79.08, $79.47, $78.9
07/12/2018, $78.89, 8556335, $79.34, $79.52, $78.565
07/11/2018, $79.16, 7846095, $79.63, $79.84, $79.0301
07/10/2018, $79.82, 12757640, $78.07, $79.94, $77.99
07/09/2018, $77.86, 9086410, $78.46, $78.83, $77.78
07/06/2018, $79.31, 7202292, $79.38, $79.62, $78.9
07/05/2018, $79.21, 7484998, $78.14, $79.25, $78.12
07/03/2018, $77.9, 5897243, $78.54, $78.76, $77.78
07/02/2018, $78.13, 6092750, $77.5, $78.31, $77.421
06/29/2018, $78.06, 7672951, $77.93, $78.54, $77.29
06/28/2018, $78.05, 5707537, $77.86, $78.315, $77.66
06/27/2018, $77.69, 7833168, $78.11, $78.705, $77.56
06/26/2018, $78, 9548365, $77.79, $78.31, $77.36
06/25/2018, $77.79, 11283260, $77.28, $77.94, $77.18
06/22/2018, $77.43, 11813110, $76.79, $77.625, $76.77
06/21/2018, $76.44, 8674341, $75.53, $77.05, $75.53
06/20/2018, $75.85, 6599017, $76.35, $76.35, $75.54
06/19/2018, $76.33, 8499412, $75.59, $76.68, $75.57
06/18/2018, $75.84, 7380130, $76.86, $77.1, $75.39
06/15/2018, $77.38, 14938780, $76.16, $77.51, $75.92
06/14/2018, $75.99, 8881502, $76.56, $76.56, $75.7
06/13/2018, $76.47, 7971774, $77.4, $77.4, $76.2
06/12/2018, $77.24, 8756585, $77.82, $77.89, $77.11
06/11/2018, $77.53, 8831059, $76.97, $77.69, $76.88
06/08/2018, $77.18, 13623640, $75.85, $77.21, $75.74
06/07/2018, $75.76, 13475620, $74.18, $76.3939, $74.1
06/06/2018, $74.35, 7002705, $74.07, $74.42, $73.72
06/05/2018, $73.97, 6909083, $74.28, $74.3752, $73.6
06/04/2018, $74.18, 8736676, $73.54, $74.62, $73.45
06/01/2018, $73.45, 7205046, $73.33, $73.735, $72.86
05/31/2018, $73.17, 15516160, $74.67, $74.69, $72.8
05/30/2018, $74.89, 8128370, $74.33, $75.015, $74.05
05/29/2018, $74.05, 8904973, $74.06, $74.7, $73.77
05/25/2018, $74.31, 7545987, $73.9, $74.62, $73.75
05/24/2018, $73.77, 6508675, $74.08, $74.35, $73.5929
05/23/2018, $74.18, 6574813, $74.02, $74.3, $73.725
05/22/2018, $74.03, 7742860, $74.46, $74.94, $73.83
05/21/2018, $74.06, 6409844, $73.75, $74.25, $73.42
05/18/2018, $73.45, 7042043, $73.98, $74.07, $73.11
05/17/2018, $73.96, 8051302, $73.52, $74, $73.4
05/16/2018, $73.53, 8296201, $72.98, $73.93, $72.96
05/15/2018, $72.95, 11499290, $73.31, $73.41, $72.6
05/14/2018, $73.28, 8646082, $73.78, $73.78, $73.09
05/11/2018, $73.37, 7585445, $73.63, $74.1, $73.05
05/10/2018, $73.15, 7615801, $72.94, $73.34, $72.69
05/09/2018, $72.37, 7424822, $71.77, $72.545, $71.74
05/08/2018, $71.44, 7949870, $72.05, $72.12, $71.111
05/07/2018, $71.98, 6633205, $72.67, $73.22, $71.89
05/04/2018, $72.43, 8099680, $71.38, $72.62, $71.34
